"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10786",-1.1012,-1.29,42.4049,2.5
"10788",1.412,-0.58,59.9645,1.5
"10791",0.4784,0.55,41.3817,1.5
"10794",-0.4046,1.62,51.2383,1.5
"10795",0.8855,1.07,66.4864,3.5
"10796",1.1654,1.34,68.244,3.5
"10798",-0.2295,1.07,53.9433,3.5
"10800",-1.245,-2.92,45.6573,1.5
"10802",0.3581,0.22,36.6908,2
"10803",-0.0663,-1.41,44.195,0.5
"10804",-0.7553,0.1,56.8498,2.5
"10805",0.8218,-0.17,53.754,1.5
"10808",0.6618,-0.17,62.1621,2
"10810",0.5987,0.1,49.4911,1.5
"10811",0.0331,1.62,59.0378,3.5
"10812",-0.5131,0.27,47.6724,0.25
"10816",0.511,-1.82,51.06,2.5
"10820",0.1703,0.24,62.247,2.5
"10821",2.5668,0.1,67.3933,3.5
"10822",-0.193,1.62,49.9332,4
"10823",0.8268,1.62,63.2415,3
"10824",0.8071,-1.29,55.9815,4
"10825",-0.3042,0.1,48.8438,3
"10826",1.48,0.1,53.4824,3.5
"10827",2.2037,-0.17,58.4039,3
"10828",-0.8399,-2.48,30.4996,2
"10829",1.152,-0.97,30.5515,2.5
"10830",-0.5385,1.23,48.8957,2
"10831",2.3867,-7,62.7961,4
"10832",-0.071,-0.97,48.4731,1.5
"10834",-0.8879,0.1,48.63,1.5
"10836",0.8485,0.68,52.0223,3.5
"10838",-1.0112,-0.17,43.6647,1.5
"10840",0.726,-0.75,54.931,2.5
"10843",-0.3394,-0.58,54.8738,2
"10844",-0.2097,0.1,45.8888,1.5
"10845",0.2195,1.62,60.646,3
"10846",-0.2562,-1.29,36.03,1.5
"10849",0.7014,0.1,66.4399,3.5
"10851",1.0178,-7,62.6312,1.5
"10853",1.2816,0.1,68.6284,3
"10855",-1.2698,-7,37.6401,2
"10856",1.1594,-0.58,57.7367,3
"10858",-0.4964,1.62,40.3566,3
"10859",0.6889,-1.02,45.0135,1.5
"10860",0.4518,-0.29,65.0748,3
"10861",-0.7642,-0.17,45.7972,2.5
"10862",0.45,-0.17,60.9317,2.5
"10863",1.2962,-1.24,34.9831,1.5
"10864",-0.0992,-0.17,44.5109,1
"10865",1.0087,-0.29,35.9824,3.5
"10866",0.9062,-2.51,53.7166,3
"10869",-0.874,0.1,29.0051,2.5
"10873",-0.1416,0.1,34.6098,2.5
"10874",0.1872,-1.02,56.69,2
"10875",-0.6755,-0.85,47.8216,2.5
"10877",1.6251,0.82,48.9723,2.5
"10879",-0.0903,-1.41,34.9141,0.5
"10880",-0.2941,0.1,51.9148,1.5
"10881",2.5668,0.78,48.0992,2.5
"10882",-1.0449,1.21,48.7967,4
"10883",-0.4525,0.1,55.6876,1.5
"10885",-1.1758,-1.41,40.7766,1
"10887",-0.0847,0.22,63.2752,2.5
"10888",-0.2355,0.1,48.1756,1
"10889",-0.1695,1.07,42.6741,1
"10892",-0.4438,0.1,49.0337,3
"10894",0.8026,0.1,52.1142,2
"10895",0.6546,-0.17,58.2544,4
"10896",0.6901,-0.17,65.8258,2
"10897",0.0745,0.1,63.9123,2
"10899",1.0829,-1.82,47.7791,2
"10902",0.1339,-0.58,52.1987,2.5
"10903",-0.6954,-2.92,50.549,0.25
"10904",-0.5408,-1.68,35.3561,1.5
"10906",0.2008,-0.34,43.8872,1.5
"10908",0.5794,0.1,48.8907,2.5
"10910",1.7061,-0.17,63.8692,3.5
"10911",0.6952,-9,48.1445,3.5
"10913",-0.3983,-0.17,40.3266,1.5
"10915",1.5454,0.1,63.304,3
"10920",0.1302,0.63,51.166,2.5
"10921",-0.1239,1.34,56.979,1.5
"10922",-0.7751,-0.56,40.8611,2.5
"10923",0.4501,-1.41,47.8748,0.5
"10924",-0.5493,1.62,69.5684,3
"10925",0.1505,-0.3,40.3564,2
"10927",-0.0522,-0.17,57.6389,2
"10928",-0.0262,0.1,51.1503,2.5
"10930",0.3227,0.55,49.3005,2
"10931",-0.9438,0.1,53.5187,1.5
"10933",-0.428,-0.83,52.9028,2
"10934",0.3077,0.1,55.3437,3
"10935",-1.0283,-0.39,51.3395,1
"10937",-0.3394,-9,36.2786,1.5
"10938",-1.0157,-0.58,57.4825,3
"10939",-0.8696,-0.3,48.1854,0.25
"10941",-0.3667,0.1,48.5297,3
"10942",-0.7751,0.38,46.8887,0.5
"10943",-0.7928,-7,44.2857,2
"10944",-1.3743,-7,46.1422,2
"10946",0.3202,-2.92,46.5834,1
"10947",0.2282,0.1,70.7365,3.5
"10948",0.0652,0.51,53.9351,2
"10950",-0.4089,1.62,50.5718,3.5
"10951",1.1115,-0.17,52.8403,2
"10952",1.1049,0.27,61.5904,4
"10954",0.1463,0.1,54.8727,3.5
